vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Not applicable – I have already received at least one dose of the Covid-19 vaccine,38,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"£20,000 to £24,999 per year",Never married,D,North East,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,16,University diploma,Male,Prefer not to answer,Prefer not to answer,Divorced,C1,South East,NA,I voted to Leave,Level-3
Fairly unlikely,21,19,GCE A level or Higher Certificate,Female,"under £5,000 per year","under £5,000 per year",Never married,C1,Yorkshire and the Humber,Labour,Can’t remember,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Never married,B,South West,Don't know,Can’t remember,Level-1
Very likely,33,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£150,000 and over","£50,000 to £59,999 per year",Married,C1,London,Labour,I voted to Remain,Level-4
Very likely,45,16,No formal qualifications,Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,C1,Yorkshire and the Humber,Labour,Can’t remember,Level-0
Very likely,34,16,No formal qualifications,Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Living as married,D,North West,NA,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,17-18,GCE A level or Higher Certificate,Female,"£40,000 to £44,999 per year","£10,000 to £14,999 per year",Married,A,Yorkshire and the Humber,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,39,16,Prefer not to say,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,C2,West Midlands,NA,I did not vote,Other
Very likely,47,NA,Prefer not to say,Male,"£60,000 to £69,999 per year","£60,000 to £69,999 per year",Never married,A,East Midlands,Conservative,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,19,Scottish Higher Certificate,Male,"£45,000 to £49,999 per year","£40,000 to £44,999 per year",Living as married,C1,Scotland,Liberal Democrat,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Widowed,E,South West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,17-18,"Other technical, professional or higher qualification",Male,Prefer not to answer,Prefer not to answer,Married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Other
Very likely,26,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£50,000 to £59,999 per year","£15,000 to £19,999 per year",Never married,C2,London,Labour,I voted to Remain,Level-4
Very likely,44,20,University diploma,Female,"£35,000 to £39,999 per year","£15,000 to £19,999 per year",Living as married,A,South East,Liberal Democrat,I voted to Remain,Level-3
Very likely,40,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Never married,B,East of England,Conservative,I voted to Leave,Level-4
Very unlikely,32,16,City & Guilds certificate - advanced,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Living as married,E,North West,NA,I did not vote,Professional
Very likely,71,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Married,C1,Scotland,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,78,17-18,ONC,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,B,Scotland,Liberal Democrat,I voted to Leave,NA
Don’t know,24,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Don't know,"under £5,000 per year",Never married,C1,East Midlands,NA,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Don't know,"£30,000 to £34,999 per year",Married,C2,West Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,17-18,Clerical and commercial,Female,"£45,000 to £49,999 per year","£20,000 to £24,999 per year",Married,C1,Yorkshire and the Humber,Labour,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,41,16,Scottish Ordinary/ Lower Certificate,Female,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Never married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,73,16,No formal qualifications,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Widowed,C2,East Midlands,Conservative,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£20,000 to £24,999 per year","£15,000 to £19,999 per year",Married,C2,East Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,B,Yorkshire and the Humber,Conservative,I voted to Leave,Level-4
Fairly unlikely,27,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Living as married,C1,London,Conservative,I voted to Leave,Level-3
Fairly likely,59,20,University diploma,Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,C1,Scotland,Conservative,I voted to Remain,Level-3
Fairly likely,32,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£20,000 to £24,999 per year","£15,000 to £19,999 per year",Never married,D,Wales,NA,I did not vote,Level-1
Very likely,34,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Living as married,C2,Yorkshire and the Humber,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,37,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£40,000 to £44,999 per year","£20,000 to £24,999 per year",Married,C1,Wales,Labour,I voted to Remain,Level-3
Very likely,32,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£100,000 to £149,999 per year","£60,000 to £69,999 per year",Married,B,South East,Labour,I voted to Remain,Level-3
Very likely,67,16,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Married,A,West Midlands,Conservative,I voted to Leave,Level-4
Very likely,44,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£10,000 to £14,999 per year",Married,C2,Scotland,Scottish National Party (SNP),I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,56,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,"£35,000 to £39,999 per year",Married,C1,East of England,Conservative,I voted to Leave,Level-1
Very likely,35,20,University diploma,Female,"£60,000 to £69,999 per year","£15,000 to £19,999 per year",Married,C1,South East,NA,I voted to Remain,Level-3
Very unlikely,58,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£45,000 to £49,999 per year","£10,000 to £14,999 per year",Never married,D,East of England,Conservative,I voted to Leave,Level-1
Very unlikely,52,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£70,000 to £99,999 per year","£40,000 to £44,999 per year",Married,C1,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,City & Guilds certificate,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,C1,South East,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,17-18,"Other technical, professional or higher qualification",Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Living as married,E,East Midlands,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£45,000 to £49,999 per year","£15,000 to £19,999 per year",Married,B,North West,Liberal Democrat,I voted to Remain,Level-3
Very likely,64,15 or under,City & Guilds certificate,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,C1,North West,NA,I voted to Remain,Professional
Very likely,55,16,CSE grades 2-5,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,D,South West,Brexit Party,I voted to Leave,Level-1
Very likely,64,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Prefer not to answer,Prefer not to answer,Married,B,South West,Conservative,I voted to Leave,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,77,19,Clerical and commercial,Female,Prefer not to answer,Prefer not to answer,Widowed,A,South West,Conservative,I voted to Remain,Professional
Fairly likely,31,20,GCE A level or Higher Certificate,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,C2,Wales,Labour,I did not vote,Level-2
Very likely,61,19,GCE A level or Higher Certificate,Female,"£60,000 to £69,999 per year","£40,000 to £44,999 per year",Married,C2,Yorkshire and the Humber,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,40,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Never married,C1,East Midlands,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,C2,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,33,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£5,000 to £9,999 per year","£10,000 to £14,999 per year",Never married,D,West Midlands,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Prefer not to answer,Prefer not to answer,Never married,E,Scotland,Scottish National Party (SNP),I did not vote,Level-4
Very likely,39,20,Don't know,Female,"£35,000 to £39,999 per year","£10,000 to £14,999 per year",Living as married,C1,Wales,Labour,Can’t remember,Other
Fairly unlikely,21,17-18,GCE A level or Higher Certificate,Female,"£10,000 to £14,999 per year","under £5,000 per year",Never married,C1,Wales,Other,I did not vote,Level-2
Very likely,58,19,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,Don't know,Married,B,South West,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,16,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Living as married,C1,South West,Labour,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,D,Yorkshire and the Humber,NA,I voted to Leave,Level-1
Very likely,38,19,Prefer not to say,Male,Prefer not to answer,Prefer not to answer,Married,C1,East of England,Labour,I voted to Remain,Other
Very likely,24,16,"Other technical, professional or higher qualification",Male,"£50,000 to £59,999 per year","£25,000 to £29,999 per year",Never married,C2,North East,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,72,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Widowed,C2,London,Conservative,I voted to Leave,Level-1
Very likely,58,17-18,"Other technical, professional or higher qualification",Female,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Married,E,South West,NA,I voted to Remain,Other
Very likely,42,17-18,GCE A level or Higher Certificate,Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,C1,North East,NA,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,C1,West Midlands,Conservative,I voted to Leave,Level-1
